"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpcnut  ","P",01/21/2019 9:30,0,1,2         ,1         ,"",0.029,<1> (CHB) ,0.03,<0>  ,0.0040,<1> (CHB) ,0.016,<1> [GQS] ,0.02,<0>  ,4.8,<1> (CHB) ,
"gtmpcnut  ","P",01/21/2019 12:00,0,1,2         ,1         ,"",0.017,<0>  ,0.012,<0>  ,0.0020,<1> [SBL] (CHB) ,0.015,<1> [GQS] ,0.017,<0>  ,4.0,<1> (CHB) ,
"gtmpcnut  ","P",01/21/2019 14:30,0,1,2         ,1         ,"",0.028,<0>  ,0.024,<0>  ,0.0040,<1> (CHB) ,0.019,<1> [GQS] ,0.023,<0>  ,3.4,<0>  ,
"gtmpcnut  ","P",01/21/2019 17:00,0,1,2         ,1         ,"",0.032,<0>  ,0.027,<0>  ,0.0050,<-3> [GSM] (CHB) ,0.245,<-3> [GCR] ,0.25,<0>  ,2.1,<0>  ,
"gtmpcnut  ","P",01/21/2019 19:30,0,1,2         ,1         ,"",0.035,<0>  ,0.027,<0>  ,0.0060,<1> (CHB) ,0.254,<1> [GQS] ,0.26,<0>  ,1.7,<0>  ,
"gtmpcnut  ","P",01/21/2019 22:00,0,1,2         ,1         ,"",0.03,<0>  ,0.026,<0>  ,0.0040,<0>  ,0.021,<0>  ,0.025,<0>  ,2.3,<0>  ,
"gtmpcnut  ","P",01/22/2019 0:30,0,1,2         ,1         ,"",0.027,<0>  ,0.021,<0>  ,0.0030,<0>  ,0.267,<0>  ,0.27,<0>  ,2.9,<0>  ,
"gtmpcnut  ","P",01/22/2019 3:00,0,1,2         ,1         ,"",0.032,<0>  ,0.028,<0>  ,0.0050,<0>  ,0.021,<0>  ,0.026,<0>  ,2.0,<0>  ,
"gtmpcnut  ","P",01/22/2019 5:30,0,1,2         ,1         ,"",0.035,<0>  ,0.03,<0>  ,0.0060,<0>  ,0.274,<0>  ,0.28,<0>  ,1.9,<0>  ,
"gtmpcnut  ","P",01/22/2019 8:00,0,1,2         ,1         ,"",0.036,<0>  ,0.025,<0>  ,0.0060,<0>  ,0.264,<0>  ,0.27,<0>  ,1.8,<0>  ,
"gtmpcnut  ","P",01/22/2019 10:30,0,1,2         ,1         ,"",0.03,<0>  ,0.026,<0>  ,0.0040,<0>  ,0.022,<0>  ,0.026,<0>  ,4.3,<0>  ,
"gtmpcnut  ","P",01/22/2019 11:55,0,1,1         ,1         ,"",0.022,<0>  ,0.0080,<0>  ,0.0020,<-4> [SBL] ,0.0070,<0>  ,0.0090,<0>  ,3.3,<0>  ,
"gtmpcnut  ","P",01/22/2019 11:58,0,1,1         ,2         ,"",0.022,<0>  ,0.0090,<0>  ,0.0020,<-4> [SBL] ,0.0030,<0>  ,0.0050,<0>  ,6.0,<0>  ,
"gtmpcnut  ","P",02/04/2019 9:30,0,1,2         ,1         ,"",0.024,<1> (CHB) ,0.019,<0>  ,0.0060,<1> [SCC] ,-0.0010,<-3> [SNV] ,0.0050,<1> [SCC] ,1.9,<1> (CHB) ,
"gtmpcnut  ","P",02/04/2019 12:00,0,1,2         ,1         ,"",0.018,<0>  ,0.021,<0>  ,0.0030,<0>  ,0.0030,<0>  ,0.0060,<0>  ,1.3,<0>  ,
"gtmpcnut  ","P",02/04/2019 14:30,0,1,2         ,1         ,"",0.027,<0>  ,0.016,<0>  ,0.0080,<1> [SCC] ,-0.0010,<-3> [SNV] ,0.0070,<1> [SCC] ,0.99,<0>  ,
"gtmpcnut  ","P",02/04/2019 17:00,0,1,2         ,1         ,"",0.029,<0>  ,0.0070,<0>  ,0.0030,<-4> [SBL] ,0.0060,<0>  ,0.0090,<0>  ,0.55,<-4> [SBL] ,
"gtmpcnut  ","P",02/04/2019 19:30,0,1,2         ,1         ,"",0.029,<0>  ,0.013,<0>  ,0.0030,<-4> [SBL] ,0.0030,<0>  ,0.0060,<0>  ,0.92,<-4> [SBL] ,
"gtmpcnut  ","P",02/04/2019 22:00,0,1,2         ,1         ,"",0.026,<0>  ,0.017,<0>  ,0.01,<1> [SCC] ,-0.0040,<-3> [SNV] ,0.0060,<1> [SCC] ,0.92,<-4> [SBL] ,
"gtmpcnut  ","P",02/05/2019 0:30,0,1,2         ,1         ,"",0.025,<0>  ,0.017,<0>  ,0.0070,<0>  ,0.0010,<0>  ,0.0080,<0>  ,1.6,<0>  ,
"gtmpcnut  ","P",02/05/2019 3:00,0,1,2         ,1         ,"",0.03,<0>  ,0.0080,<0>  ,0.0030,<-4> [SBL] ,0.0070,<0>  ,0.01,<0>  ,0.55,<-4> [SBL] ,
"gtmpcnut  ","P",02/05/2019 5:30,0,1,2         ,1         ,"",0.03,<0>  ,0.0090,<0>  ,0.0030,<-4> [SBL] ,0.0060,<0>  ,0.0090,<0>  ,0.55,<-4> [SBL] ,
